Id	Location	Treatment	Age	LocateTreatAge	DRNType	Treatments	HeadCS	Symm1	Symm2	Symm3	Symm4	Symm5	Symm6	Symm7	Symm8	Symm9	Symm10	Symm11	Symm12	Symm13	Symm14	Symm15	Symm16	Symm17	Symm18	Symm19	Symm20	Symm21	Symm22	Symm23	Symm24	Symm25	Symm26	Symm27	Symm28	Symm29	Symm30	Symm31	Symm32	Symm33	Symm34	Symm35	Symm36	Symm37	Symm38	Symm39	Symm40	Symm41	Symm42	Symm43	Symm44	Symm45	Symm46	Symm47	Symm48	Symm49	Symm50	Symm51	Symm52	Symm53	Symm54	Symm55	Symm56	Symm57	Symm58	Symm59	Symm60	Symm61	Symm62	Symm63	Symm64	Symm65	Symm66
EC-d14-01	Erimo	Control	14day	ECd14	W14	W14	16.70571552	0	0.198931202	0.061730052	0.182276759	0.098043444	0.140433776	0.140233377	0.0642208	0.156931333	-0.126222612	0.109763228	-0.146166403	-0.109763228	-0.146166403	-0.156931333	-0.126222612	-0.140233377	0.0642208	-0.098043444	0.140433776	-0.061730052	0.182276759	0.103157858	0.109645868	-0.103157858	0.109645868	0.144893996	0.046881328	0.149598642	0.030382156	0.15449629	0.013537657	0.158669085	-0.003969108	0.162973812	-0.022006928	0.165489113	-0.040731107	0.167038551	-0.05973752	0.166603774	-0.078596408	0.167048636	-0.096571597	0.1638118	-0.11284226	-0.144893996	0.046881328	-0.149598642	0.030382156	-0.15449629	0.013537657	-0.158669085	-0.003969108	-0.162973812	-0.022006928	-0.165489113	-0.040731107	-0.167038551	-0.05973752	-0.166603774	-0.078596408	-0.167048636	-0.096571597	-0.1638118	-0.11284226
EC-d14-02	Erimo	Control	14day	ECd14	W14	W14	17.65333399	0	0.204199476	0.062343621	0.183335831	0.099682831	0.141328909	0.143778859	0.064601096	0.154222021	-0.126540313	0.102109844	-0.140891802	-0.102109844	-0.140891802	-0.154222021	-0.126540313	-0.143778859	0.064601096	-0.099682831	0.141328909	-0.062343621	0.183335831	0.104367552	0.109783714	-0.104367552	0.109783714	0.148141067	0.047143223	0.153175812	0.030739705	0.155829819	0.013349009	0.158714728	-0.004573268	0.161321076	-0.023200203	0.163138143	-0.042328306	0.164834947	-0.061580976	0.165711541	-0.080574451	0.165725591	-0.098498335	0.161752964	-0.114193573	-0.148141067	0.047143223	-0.153175812	0.030739705	-0.155829819	0.013349009	-0.158714728	-0.004573268	-0.161321076	-0.023200203	-0.163138143	-0.042328306	-0.164834947	-0.061580976	-0.165711541	-0.080574451	-0.165725591	-0.098498335	-0.161752964	-0.114193573
EC-d14-03	Erimo	Control	14day	ECd14	W14	W14	14.9928926	0	0.205340017	0.060104439	0.190722449	0.095855867	0.146766889	0.138460578	0.063693132	0.155541615	-0.129009833	0.099140131	-0.143760463	-0.099140131	-0.143760463	-0.155541615	-0.129009833	-0.138460578	0.063693132	-0.095855867	0.146766889	-0.060104439	0.190722449	0.100408129	0.113684527	-0.100408129	0.113684527	0.142256783	0.045352323	0.146798862	0.028327202	0.151747005	0.011133986	0.156986043	-0.00639314	0.162361569	-0.024314494	0.166186619	-0.042692951	0.167024101	-0.061609381	0.166781597	-0.080528792	0.164523316	-0.098720211	0.161027629	-0.115321251	-0.142256783	0.045352323	-0.146798862	0.028327202	-0.151747005	0.011133986	-0.156986043	-0.00639314	-0.162361569	-0.024314494	-0.166186619	-0.042692951	-0.167024101	-0.061609381	-0.166781597	-0.080528792	-0.164523316	-0.098720211	-0.161027629	-0.115321251
EC-d14-04	Erimo	Control	14day	ECd14	W14	W14	15.76921301	0	0.206462009	0.057211545	0.19076721	0.097356313	0.15245857	0.140124862	0.061677716	0.153305424	-0.126645589	0.103075007	-0.146789501	-0.103075007	-0.146789501	-0.153305424	-0.126645589	-0.140124862	0.061677716	-0.097356313	0.15245857	-0.057211545	0.19076721	0.102992466	0.114439408	-0.102992466	0.114439408	0.145277514	0.043319426	0.149029277	0.026221056	0.151147759	0.008804355	0.155948217	-0.008233765	0.161024606	-0.025508032	0.164678084	-0.043033237	0.164642322	-0.061210726	0.165016972	-0.079441461	0.163933678	-0.096981568	0.159725767	-0.113074866	-0.145277514	0.043319426	-0.149029277	0.026221056	-0.151147759	0.008804355	-0.155948217	-0.008233765	-0.161024606	-0.025508032	-0.164678084	-0.043033237	-0.164642322	-0.061210726	-0.165016972	-0.079441461	-0.163933678	-0.096981568	-0.159725767	-0.113074866
EC-d14-05	Erimo	Control	14day	ECd14	W14	W14	18.77115963	0	0.193203586	0.057252516	0.177849702	0.094265058	0.139727258	0.142943069	0.061877742	0.159358408	-0.119453629	0.110665043	-0.1422397	-0.110665043	-0.1422397	-0.159358408	-0.119453629	-0.142943069	0.061877742	-0.094265058	0.139727258	-0.057252516	0.177849702	0.100060163	0.108474326	-0.100060163	0.108474326	0.146854796	0.044031429	0.152022949	0.027785177	0.154477633	0.010933769	0.161084116	-0.005082201	0.166498208	-0.021946718	0.168742024	-0.040033147	0.169564787	-0.058618312	0.171050704	-0.076903748	0.171162553	-0.094098289	0.168147239	-0.108905453	-0.146854796	0.044031429	-0.152022949	0.027785177	-0.154477633	0.010933769	-0.161084116	-0.005082201	-0.166498208	-0.021946718	-0.168742024	-0.040033147	-0.169564787	-0.058618312	-0.171050704	-0.076903748	-0.171162553	-0.094098289	-0.168147239	-0.108905453
EC-d14-06	Erimo	Control	14day	ECd14	W14	W14	15.67402417	0	0.206923259	0.06597759	0.185278585	0.100138505	0.142102769	0.142226613	0.059372907	0.151005369	-0.119467	0.100996517	-0.145043913	-0.100996517	-0.145043913	-0.151005369	-0.119467	-0.142226613	0.059372907	-0.100138505	0.142102769	-0.06597759	0.185278585	0.102087135	0.11176077	-0.102087135	0.11176077	0.147316864	0.041580444	0.151805823	0.025103044	0.155479025	0.008401267	0.159590372	-0.008311588	0.164623559	-0.024986624	0.168152367	-0.041969588	0.169004541	-0.059386179	0.168960565	-0.076713526	0.16701222	-0.093249122	0.161487026	-0.107933875	-0.147316864	0.041580444	-0.151805823	0.025103044	-0.155479025	0.008401267	-0.159590372	-0.008311588	-0.164623559	-0.024986624	-0.168152367	-0.041969588	-0.169004541	-0.059386179	-0.168960565	-0.076713526	-0.16701222	-0.093249122	-0.161487026	-0.107933875
EC-d14-07	Erimo	Control	14day	ECd14	W14	W14	15.94312842	0	0.20232266	0.065325848	0.183026074	0.101224643	0.143183964	0.139870772	0.062323196	0.151953307	-0.125693165	0.099720164	-0.155733245	-0.099720164	-0.155733245	-0.151953307	-0.125693165	-0.139870772	0.062323196	-0.101224643	0.143183964	-0.065325848	0.183026074	0.100917585	0.111584719	-0.100917585	0.111584719	0.144392658	0.044628355	0.149480765	0.028465965	0.153501822	0.011957609	0.15958962	-0.004171337	0.163682272	-0.021473657	0.166877316	-0.039349957	0.16794275	-0.057740502	0.168375339	-0.076290719	0.165581182	-0.094416095	0.160981321	-0.111462534	-0.144392658	0.044628355	-0.149480765	0.028465965	-0.153501822	0.011957609	-0.15958962	-0.004171337	-0.163682272	-0.021473657	-0.166877316	-0.039349957	-0.16794275	-0.057740502	-0.168375339	-0.076290719	-0.165581182	-0.094416095	-0.160981321	-0.111462534
EC-d14-08	Erimo	Control	14day	ECd14	W14	W14	14.9767047	0	0.219763288	0.062172747	0.197436571	0.101228147	0.147411672	0.138030522	0.065891308	0.147408745	-0.133178579	0.09999053	-0.160964555	-0.09999053	-0.160964555	-0.147408745	-0.133178579	-0.138030522	0.065891308	-0.101228147	0.147411672	-0.062172747	0.197436571	0.09894091	0.115189951	-0.09894091	0.115189951	0.13989196	0.047324893	0.1446864	0.030389556	0.148704949	0.012854887	0.153854798	-0.004832613	0.157056838	-0.023450219	0.160069701	-0.042535137	0.162559231	-0.061814879	0.162544783	-0.081325012	0.160554004	-0.100375159	0.15529761	-0.117904329	-0.13989196	0.047324893	-0.1446864	0.030389556	-0.148704949	0.012854887	-0.153854798	-0.004832613	-0.157056838	-0.023450219	-0.160069701	-0.042535137	-0.162559231	-0.061814879	-0.162544783	-0.081325012	-0.160554004	-0.100375159	-0.15529761	-0.117904329
EC-d14-09	Erimo	Control	14day	ECd14	W14	W14	15.47341811	0	0.215444296	0.056513538	0.201224832	0.097481202	0.151499342	0.136598538	0.066082013	0.145957004	-0.13204758	0.099196016	-0.162900689	-0.099196016	-0.162900689	-0.145957004	-0.13204758	-0.136598538	0.066082013	-0.097481202	0.151499342	-0.056513538	0.201224832	0.099235651	0.112306222	-0.099235651	0.112306222	0.14199708	0.048307895	0.146324542	0.031128441	0.14952379	0.013203827	0.153119216	-0.005040941	0.156011353	-0.023988626	0.159305988	-0.043257009	0.161675372	-0.062779709	0.161965115	-0.082250729	0.160345384	-0.101039254	0.156124523	-0.118170183	-0.14199708	0.048307895	-0.146324542	0.031128441	-0.14952379	0.013203827	-0.153119216	-0.005040941	-0.156011353	-0.023988626	-0.159305988	-0.043257009	-0.161675372	-0.062779709	-0.161965115	-0.082250729	-0.160345384	-0.101039254	-0.156124523	-0.118170183
EC-d14-10	Erimo	Control	14day	ECd14	W14	W14	14.77069806	0	0.215648506	0.062375264	0.193268877	0.097737849	0.146169164	0.137392121	0.064240365	0.152639501	-0.129339743	0.100133779	-0.153423285	-0.100133779	-0.153423285	-0.152639501	-0.129339743	-0.137392121	0.064240365	-0.097737849	0.146169164	-0.062375264	0.193268877	0.101057366	0.113133557	-0.101057366	0.113133557	0.14253826	0.046363372	0.147129727	0.029391402	0.15036062	0.011797583	0.153210223	-0.006250344	0.157518477	-0.024514746	0.160952451	-0.043259633	0.164664821	-0.061930477	0.165743511	-0.080624682	0.165547404	-0.09847621	0.159803521	-0.114369452	-0.14253826	0.046363372	-0.147129727	0.029391402	-0.15036062	0.011797583	-0.153210223	-0.006250344	-0.157518477	-0.024514746	-0.160952451	-0.043259633	-0.164664821	-0.061930477	-0.165743511	-0.080624682	-0.165547404	-0.09847621	-0.159803521	-0.114369452
